/Users/am/Code/Agency/tools/document_generator.py:81:4: forbids Dict[str, Any]/dict[str, Any] in annotation
/Users/am/Code/Agency/trinity_protocol/core/witness.py:131:35: forbids Dict[str, Any]/dict[str, Any] in arg
/Users/am/Code/Agency/trinity_protocol/core/witness.py:194:28: forbids Dict[str, Any]/dict[str, Any] in arg
/Users/am/Code/Agency/trinity_protocol/core/witness.py:208:8: forbids Dict[str, Any]/dict[str, Any] in arg
/Users/am/Code/Agency/trinity_protocol/core/witness.py:258:61: forbids Dict[str, Any]/dict[str, Any] in arg
/Users/am/Code/Agency/trinity_protocol/core/witness.py:308:27: forbids Dict[str, Any]/dict[str, Any] in return
/Users/am/Code/Agency/trinity_protocol/core/architect.py:32:4: forbids Dict[str, Any]/dict[str, Any] in annotation
/Users/am/Code/Agency/trinity_protocol/core/architect.py:36:25: forbids Dict[str, Any]/dict[str, Any] in return
/Users/am/Code/Agency/trinity_protocol/core/architect.py:122:36: forbids Dict[str, Any]/dict[str, Any] in arg
/Users/am/Code/Agency/trinity_protocol/core/architect.py:146:63: forbids Dict[str, Any]/dict[str, Any] in return
/Users/am/Code/Agency/trinity_protocol/core/architect.py:146:36: forbids Dict[str, Any]/dict[str, Any] in arg
/Users/am/Code/Agency/trinity_protocol/core/architect.py:159:33: forbids Dict[str, Any]/dict[str, Any] in arg
/Users/am/Code/Agency/trinity_protocol/core/architect.py:189:39: forbids Dict[str, Any]/dict[str, Any] in arg
/Users/am/Code/Agency/trinity_protocol/core/architect.py:203:8: forbids Dict[str, Any]/dict[str, Any] in arg
/Users/am/Code/Agency/trinity_protocol/core/architect.py:204:8: forbids Dict[str, Any]/dict[str, Any] in arg
/Users/am/Code/Agency/trinity_protocol/core/architect.py:223:8: forbids Dict[str, Any]/dict[str, Any] in arg
/Users/am/Code/Agency/trinity_protocol/core/architect.py:224:8: forbids Dict[str, Any]/dict[str, Any] in arg
/Users/am/Code/Agency/trinity_protocol/core/architect.py:249:8: forbids Dict[str, Any]/dict[str, Any] in arg
/Users/am/Code/Agency/trinity_protocol/core/architect.py:250:8: forbids Dict[str, Any]/dict[str, Any] in arg
/Users/am/Code/Agency/trinity_protocol/core/architect.py:289:28: forbids Dict[str, Any]/dict[str, Any] in arg
/Users/am/Code/Agency/trinity_protocol/core/architect.py:446:8: forbids Dict[str, Any]/dict[str, Any] in arg
/Users/am/Code/Agency/trinity_protocol/core/architect.py:464:27: forbids Dict[str, Any]/dict[str, Any] in return
/Users/am/Code/Agency/trinity_protocol/core/architect.py:468:32: forbids Dict[str, Any]/dict[str, Any] in arg
/Users/am/Code/Agency/trinity_protocol/core/executor.py:206:36: forbids Dict[str, Any]/dict[str, Any] in arg
/Users/am/Code/Agency/trinity_protocol/core/executor.py:225:34: forbids Dict[str, Any]/dict[str, Any] in arg
/Users/am/Code/Agency/trinity_protocol/core/executor.py:251:32: forbids Dict[str, Any]/dict[str, Any] in arg
/Users/am/Code/Agency/trinity_protocol/core/executor.py:344:66: forbids Dict[str, Any]/dict[str, Any] in arg
/Users/am/Code/Agency/trinity_protocol/core/executor.py:362:34: forbids Dict[str, Any]/dict[str, Any] in arg
/Users/am/Code/Agency/trinity_protocol/core/executor.py:445:9: forbids Dict[str, Any]/dict[str, Any] in return
/Users/am/Code/Agency/trinity_protocol/core/executor.py:459:55: forbids Dict[str, Any]/dict[str, Any] in arg
/Users/am/Code/Agency/trinity_protocol/core/executor.py:482:27: forbids Dict[str, Any]/dict[str, Any] in return
/Users/am/Code/Agency/trinity_protocol/core/models/patterns.py:112:4: forbids Dict[str, Any]/dict[str, Any] in annotation
/Users/am/Code/Agency/trinity_protocol/core/models/patterns.py:159:4: forbids Dict[str, Any]/dict[str, Any] in annotation
/Users/am/Code/Agency/tests/trinity_protocol/conftest.py:135:35: forbids Dict[str, Any]/dict[str, Any] in return
/Users/am/Code/Agency/tests/trinity_protocol/conftest.py:152:31: forbids Dict[str, Any]/dict[str, Any] in return
/Users/am/Code/Agency/tests/trinity_protocol/test_executor_agent.py:69:59: forbids Dict[str, Any]/dict[str, Any] in return
/Users/am/Code/Agency/tests/trinity_protocol/test_executor_agent.py:69:34: forbids Dict[str, Any]/dict[str, Any] in arg
/Users/am/Code/Agency/tests/trinity_protocol/test_executor_agent.py:125:57: forbids Dict[str, Any]/dict[str, Any] in return
/Users/am/Code/Agency/tests/trinity_protocol/test_executor_agent.py:125:32: forbids Dict[str, Any]/dict[str, Any] in arg
/Users/am/Code/Agency/tests/trinity_protocol/test_executor_agent.py:151:46: forbids Dict[str, Any]/dict[str, Any] in arg
/Users/am/Code/Agency/tests/trinity_protocol/test_executor_agent.py:170:42: forbids Dict[str, Any]/dict[str, Any] in arg
/Users/am/Code/Agency/tests/trinity_protocol/test_executor_agent.py:193:87: forbids Dict[str, Any]/dict[str, Any] in return
/Users/am/Code/Agency/tests/trinity_protocol/test_executor_agent.py:193:62: forbids Dict[str, Any]/dict[str, Any] in arg
/Users/am/Code/Agency/tests/trinity_protocol/test_executor_agent.py:207:70: forbids Dict[str, Any]/dict[str, Any] in return
/Users/am/Code/Agency/tests/trinity_protocol/test_executor_agent.py:235:80: forbids Dict[str, Any]/dict[str, Any] in return
/Users/am/Code/Agency/tests/trinity_protocol/test_executor_agent.py:262:9: forbids Dict[str, Any]/dict[str, Any] in return
